ra,dec,parallax,g_mag,bp_rp
264.35448080469183,-3.2502178645522815,-3.0256665404560064,20.713804,1.7024403
264.37811162734374,-3.258249707285824,-3.0251849589652617,19.588556,1.4802952
264.40550312641085,-3.2639840003362903,-3.020568208718824,19.226088,1.58177
264.4160856906419,-3.2499848818785426,-3.020139424734347,19.122997,1.6647701
264.3856830001885,-3.2405748645072276,-3.0180024033429205,17.931963,1.6048746
264.4185674572659,-3.291761089469506,-3.0094692590450376,20.577145,1.555624
264.4110750960512,-3.274770956735282,-3.0027846001529817,19.418457,1.5509071
264.3686949721158,-3.2654367733998058,-3.0014867992108734,19.8102,1.872549
264.4031823592812,-3.2481220611523742,-3.0006615131011065,13.89325,2.1804523
264.3873889021123,-3.3389417499840013,-2.9946582232838206,20.001833,1.413662
264.36400359257016,-3.2103684872537044,-2.9937806488629826,18.98897,1.6604595
264.37177318683877,-3.2429258863449366,-2.9780049235622927,18.573292,1.3933353
264.39378785992074,-3.2316477650720135,-2.9772649294027542,18.538012,1.6246309
264.419426177617,-3.2520540329250704,-2.9688127906966724,16.737314,1.35958
264.46155695289866,-3.250673515690552,-2.9648087349468217,20.828192,1.4646568
264.39587023636153,-3.3161994846415457,-2.9587911167362977,20.67924,1.4939823
264.3650916572644,-3.3202393235820344,-2.9313307487180276,20.807106,1.7005558
264.39893774454254,-3.2919010757674783,-2.930918162502244,20.724125,1.6230488
264.4312711646224,-3.2861392231396453,-2.92965814459747,20.158175,1.6757641
264.37809752085104,-3.2712922498027956,-2.9262421704995534,20.098627,1.2533607
264.4014021518408,-3.238092942298959,-2.910475287713397,18.272715,1.7068548
264.40886200029587,-3.281797848535758,-2.9091101735624867,19.962479,1.5722542
264.41381196586883,-3.210603806210609,-2.9035725748240617,19.166965,1.6187878
264.3712294200824,-3.2219145449217823,-2.897441685782177,20.582582,1.9264908
264.41533799051166,-3.1416835028337604,-2.8821479822480125,19.953495,1.3368397
264.4415246117666,-3.1924506025919825,-2.8768252809609787,20.746508,1.7377357
264.4191909275232,-3.227985321953909,-2.872179647913948,19.250147,1.7084465
264.36581270460556,-3.2958568792263145,-2.8596063275185823,20.719883,0.57582283
264.31679257042526,-3.2831106593780084,-2.858100022147673,20.726473,1.8147697
264.4395475357182,-3.2902519316147774,-2.8543134257936296,20.36961,1.5442142
264.3728597884563,-3.2651352627964783,-2.8469016003435303,20.208591,1.1034718
264.47040459950387,-3.333323991871956,-2.843061600736579,20.605957,1.4058361
264.45189086203607,-3.2681477256138605,-2.8243272742931325,20.837326,1.3593369
264.3954867263841,-3.2687064115194673,-2.813522077358795,19.285912,1.6191864
264.31700741371424,-3.2467377520799845,-2.8127982962678946,20.752676,1.1716785
264.3922787165682,-3.277458701762993,-2.8081529958880647,19.301775,1.5188408
264.4662251698257,-3.276787272107576,-2.789593434648054,20.482447,1.1268597
264.44943069904446,-3.226192226524024,-2.7855423249836924,20.694012,1.2523384
264.4533494569442,-3.2384268200954636,-2.782475513292361,20.770937,1.4250011
264.377539229624,-3.2684687985488377,-2.7766286420590633,19.960144,1.4506645
264.3576810124489,-3.263606349388469,-2.774879109892582,20.038836,1.5890598
264.2987310878029,-3.247108465199846,-2.771906793082803,20.344326,1.4508457
